,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
10,Frank Sinatra,Fly Me To The Moon (Fingerstyle),Nylon Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.67,0.62,0.02,0.56,Intermediate,3/8,0.18,0.54,Intermediate,7/8,Advanced,3/8,Advanced,1/8
11,Marilyn Manson,Sweet Dreams,Daisy Berkowitz,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8,0.66,0.31,0.84,0.03,Intermediate,4/8,0.05,0.41,Advanced,5/8,Beginner,8/8,Advanced,1/8
12,Van Halen,Panama,Edward Van Halen,['Distortion Guitar'],Intermediate,4/8,0.63,0.43,0.46,0.72,Intermediate,4/8,0.81,0.38,Intermediate,5/8,Advanced,8/8,Advanced,1/8
13,Johnny Cash,Hurt,Acoustic Guitar (steel),[],Beginner,2/8,0.13,0.81,0.3,0.49,Beginner,2/8,0.31,0.23,Intermediate,6/8,Advanced,3/8,Beginner,4/8
14,Metallica,Nothing Else Matters (Acoustic),Guitar 1,['Acoustic Guitar (steel)'],Intermediate,5/8,0.48,0.57,0.04,0.2,Intermediate,5/8,0.04,0.56,Beginner,1/8,Advanced,5/8,Intermediate,4/8
15,Kaare Norge,Nocturne Op. 9 No. 2 (Frederic Chopin),Classical Guitar,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.57,0.74,0.6,0.1,Intermediate,5/8,0.73,0.28,Intermediate,6/8,Intermediate,8/8,Intermediate,5/8
16,Dire Straits,Sultans Of Swing,Mark Knopfler,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8,0.86,0.82,0.71,0.51,Intermediate,3/8,0.38,0.57,Beginner,8/8,Beginner,4/8,Intermediate,4/8
17,Papa Roach,Last Resort,Jerry Horton,['Distortion Guitar'],Intermediate,4/8,0.27,0.38,0.85,0.22,Intermediate,4/8,0.02,0.55,Beginner,8/8,Beginner,4/8,Intermediate,8/8
18,Metallica,Orion,Kirk Hammett,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8,0.39,0.18,0.03,0.76,Intermediate,3/8,0.84,0.82,Advanced,8/8,Advanced,2/8,Intermediate,6/8
19,Slash,Anastasia,Slash,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8,0.53,0.43,0.92,0.54,Intermediate,4/8,0.97,0.08,Intermediate,6/8,Beginner,1/8,Advanced,5/8
20,Red Hot Chili Peppers,Scar Tissue,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8,0.24,0.62,0.96,0.53,Intermediate,3/8,1.0,0.49,Intermediate,7/8,Advanced,5/8,Intermediate,1/8
21,Linkin Park,Numb (Fingerstyle),Nylon Guitar,['Acoustic Guitar (nylon)'],Beginner,2/8,0.35,0.06,0.53,0.02,Beginner,2/8,0.32,0.81,Advanced,7/8,Advanced,4/8,Advanced,4/8
22,Lynyrd Skynyrd,Sweet Home Alabama,Ed King ,['Electric Guitar (clean)'],Beginner,2/8,0.75,0.26,0.56,0.68,Beginner,2/8,0.83,0.86,Intermediate,1/8,Intermediate,3/8,Intermediate,5/8
23,Slash,The Godfather Theme,SLASH,['Distortion Guitar'],Intermediate,4/8,0.23,0.18,0.96,0.11,Intermediate,4/8,0.97,0.27,Intermediate,6/8,Intermediate,8/8,Advanced,4/8
24,Ozzy Osbourne,Crazy Train,Randy Rhoads (Lead Guitar),['Distortion Guitar'],Intermediate,5/8,0.77,0.47,0.25,0.96,Intermediate,5/8,0.01,0.34,Advanced,1/8,Beginner,8/8,Beginner,7/8
25,Yiruma-Shunga Jung Fingerstyle,River flows in you-Yiruma (shunga jung),Track 1,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.56,0.39,0.55,0.88,Intermediate,3/8,0.52,0.11,Intermediate,7/8,Advanced,2/8,Intermediate,3/8
26,Megadeth,Hangar 18,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8,1.0,0.38,0.3,0.19,Intermediate,5/8,0.17,0.71,Intermediate,5/8,Intermediate,2/8,Advanced,7/8
27,Van Halen,Eruption,Eddie Van Halen,['Distortion Guitar'],Advanced,7/8,0.39,0.41,0.86,0.35,Advanced,7/8,0.23,0.21,Beginner,2/8,Beginner,1/8,Advanced,3/8
28,Led Zeppelin,Stairway To Heaven (Guitar Solo),Jimmy Page (Solo),['Overdriven Guitar'],Intermediate,5/8,0.03,0.03,0.43,0.75,Intermediate,5/8,0.68,0.16,Beginner,2/8,Intermediate,1/8,Intermediate,7/8
29,Theme Songs,Pirates Of The Caribbean,Guitar 1,['Acoustic Guitar (steel)'],Beginner,2/8,0.07,0.03,0.59,0.43,Beginner,2/8,0.21,0.02,Intermediate,2/8,Intermediate,6/8,Intermediate,2/8
30,Black Sabbath,Iron Man,Tony Iommi,"['Guitar', 'Distortion Guitar']",Intermediate,3/8,0.73,0.41,0.88,0.67,Intermediate,3/8,0.76,0.81,Beginner,5/8,Advanced,2/8,Beginner,1/8
31,Dick Dale,Misirlou,Guitar 1,['Electric Guitar (clean)'],Intermediate,4/8,0.3,0.39,0.96,0.95,Intermediate,4/8,0.25,0.31,Beginner,1/8,Advanced,5/8,Beginner,4/8
32,Ed Sheeran,I See Fire (Fingerstyle Cover By Gp),Nylon Guitar,['Acoustic Guitar (steel)'],Intermediate,3/8,0.01,0.27,0.4,0.47,Intermediate,3/8,0.79,0.33,Beginner,4/8,Beginner,8/8,Advanced,5/8
33,Megadeth,Symphony Of Destruction,Marty Friedman,['Distortion Guitar'],Intermediate,3/8,0.09,0.39,0.11,0.16,Intermediate,3/8,0.06,0.23,Intermediate,2/8,Intermediate,6/8,Advanced,4/8
34,Ludwig Van Beethoven,Moonlight Sonata (Acoustic Version),Acoustic Guitar (nylon),[],Intermediate,4/8,0.87,0.07,0.25,0.61,Intermediate,4/8,0.38,0.44,Advanced,8/8,Intermediate,4/8,Intermediate,2/8
35,Guns N' Roses,Don't Cry,Guitar 1 (Slash),['Distortion Guitar'],Intermediate,3/8,0.27,0.56,0.77,0.69,Intermediate,3/8,0.42,0.34,Advanced,7/8,Advanced,7/8,Advanced,3/8
36,Oasis,Wonderwall Bass,Noel Gallagher,"['Bass', 'Electric Bass (pick)']",,,0.62,0.76,0.89,0.18,,,0.42,0.39,Beginner,2/8,Intermediate,1/8,Beginner,8/8
37,AC/DC,You Shook Me All Night Long,Angus Young,['Distortion Guitar'],Intermediate,3/8,0.45,0.05,0.36,0.18,Intermediate,3/8,0.01,0.6,Beginner,1/8,Intermediate,2/8,Beginner,8/8
38,Mason Williams,Classical Gas,Mason Williams,['Acoustic Guitar (steel)'],Intermediate,3/8,0.27,0.08,0.66,0.05,Intermediate,3/8,0.98,0.62,Advanced,6/8,Beginner,8/8,Beginner,3/8
39,JerryC,Canon Rock,Lead,['Distortion Guitar'],Intermediate,5/8,0.17,0.33,0.93,0.24,Intermediate,5/8,0.01,0.64,Beginner,6/8,Beginner,7/8,Beginner,6/8
40,Muse,Psycho,Distortion Guitar,"['Matt Bellamy', 'Overdriven Guitar']",Intermediate,3/8,0.73,0.76,0.5,0.01,Intermediate,3/8,0.89,0.48,Advanced,8/8,Intermediate,3/8,Intermediate,7/8
41,Megadeth,Holy Wars... The Punishment Due,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8,0.95,0.9,0.63,0.59,Intermediate,5/8,0.21,0.88,Advanced,5/8,Advanced,5/8,Beginner,1/8
42,Megadeth,Tornado Of Souls,Marty Friedman,['Distortion Guitar'],Intermediate,4/8,0.84,0.07,0.09,0.94,Intermediate,4/8,0.88,0.54,Advanced,1/8,Advanced,8/8,Advanced,3/8
43,Slayer,Raining Blood,Kerry King,['Distortion Guitar'],Intermediate,5/8,0.28,0.14,0.49,0.4,Intermediate,5/8,0.96,0.29,Advanced,4/8,Intermediate,3/8,Intermediate,1/8
44,Slayer,Angel Of Death,Jeff Hanneman,['Distortion Guitar'],Advanced,6/8,0.6,0.54,0.26,0.89,Advanced,6/8,0.87,0.74,Beginner,4/8,Intermediate,7/8,Beginner,6/8
45,Slipknot,Psychosocial,Mick T.,"['Guitar', 'Distortion Guitar']",Intermediate,3/8,0.11,0.98,0.84,0.31,Intermediate,3/8,0.13,0.96,Intermediate,7/8,Beginner,4/8,Advanced,6/8
46,Blind Guardian,The Bards Song,Acoustic 1,['Acoustic Guitar (steel)'],Beginner,2/8,0.1,0.71,0.45,0.47,Beginner,2/8,0.74,0.74,Intermediate,8/8,Advanced,3/8,Advanced,2/8
47,Red Hot Chili Peppers,Can't Stop,John Frusciante,['Overdriven Guitar'],Intermediate,3/8,0.62,0.08,0.79,0.02,Intermediate,3/8,0.69,0.42,Advanced,3/8,Advanced,2/8,Beginner,6/8
48,Gary Moore,The Loner,Lead,['Distortion Guitar'],Intermediate,3/8,0.44,0.68,0.21,0.87,Intermediate,3/8,0.29,0.03,Advanced,4/8,Beginner,4/8,Advanced,8/8
49,Sungha Jung,Howls Moving Castle,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8,0.41,0.76,0.52,0.9,Beginner,2/8,0.24,0.73,Beginner,1/8,Intermediate,2/8,Intermediate,3/8
50,Children Of Bodom,Are You Dead Yet?,Alexi Laiho,['Distortion Guitar'],Intermediate,3/8,0.73,0.12,0.6,0.37,Intermediate,3/8,0.52,0.91,Beginner,4/8,Advanced,5/8,Beginner,4/8
51,Estas Tonne,The Song Of The Golden Dragon,Estas Tonné,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.64,0.19,0.43,0.84,Intermediate,5/8,0.52,0.04,Intermediate,2/8,Advanced,6/8,Intermediate,3/8
52,AC/DC,Hells Bells,Angus Young,['Distortion Guitar'],Intermediate,4/8,0.34,0.54,0.99,0.29,Intermediate,4/8,0.92,0.16,Advanced,5/8,Beginner,4/8,Beginner,3/8
53,Mayhem,Freezing Moon,Euronymous,['Distortion Guitar'],Intermediate,3/8,0.92,0.0,0.93,0.44,Intermediate,3/8,0.43,0.59,Beginner,8/8,Beginner,8/8,Intermediate,3/8
54,Foo Fighters,Everlong,Dave Grohl (Rhythm Guitar),['Distortion Guitar'],Intermediate,3/8,0.75,0.75,0.55,0.85,Intermediate,3/8,0.42,0.31,Beginner,4/8,Advanced,2/8,Advanced,2/8
55,Guns N' Roses,November Rain,Slash (Lead),['Distortion Guitar'],Intermediate,3/8,0.02,0.37,0.84,0.47,Intermediate,3/8,0.51,0.93,Intermediate,1/8,Advanced,7/8,Advanced,8/8
56,Guns N' Roses,Paradise City,Slash,"['Lead', 'Distortion Guitar']",Intermediate,5/8,0.92,0.0,0.64,0.31,Intermediate,5/8,0.57,0.34,Advanced,2/8,Intermediate,4/8,Intermediate,1/8
57,Avenged Sevenfold,Buried Alive,Clean Guitar (Synyster Gates),['Electric Guitar (clean)'],Intermediate,4/8,0.75,0.93,0.2,0.54,Intermediate,4/8,0.22,0.38,Beginner,4/8,Beginner,7/8,Intermediate,1/8
58,Metallica,Ride The Lightning,Kirk Hammett,"['Lead', 'Distortion Guitar']",Intermediate,3/8,0.9,0.05,0.18,0.68,Intermediate,3/8,0.03,0.13,Beginner,8/8,Intermediate,2/8,Intermediate,2/8
59,Alan Walker,Faded Fingerstyle,Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8,0.03,0.96,0.44,0.02,Beginner,2/8,0.47,0.73,Intermediate,1/8,Beginner,1/8,Intermediate,6/8
60,Johann Sebastian Bach,Bouree,Acoustic Guitar (steel),[],Intermediate,4/8,1.0,0.6,0.47,0.9,Intermediate,4/8,0.53,0.87,Advanced,8/8,Advanced,4/8,Advanced,6/8
61,Король и Шут,Лесник,Solo Guitar,['Distortion Guitar'],Intermediate,3/8,0.82,0.42,1.0,0.28,Intermediate,3/8,0.86,0.91,Beginner,7/8,Intermediate,5/8,Beginner,6/8
62,As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8,0.74,0.07,0.18,0.66,Intermediate,3/8,0.37,0.24,Beginner,7/8,Advanced,4/8,Intermediate,4/8
63,Lynyrd Skynyrd,Free Bird,Allen Collins (Lead Guitar-Right Stereo),['Distortion Guitar'],Advanced,6/8,0.96,0.58,0.48,0.86,Advanced,6/8,0.13,0.14,Intermediate,7/8,Advanced,6/8,Advanced,8/8
64,Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8,0.23,0.9,0.18,0.67,Intermediate,3/8,0.26,0.28,Advanced,6/8,Advanced,4/8,Advanced,6/8
65,Ludwig Van Beethoven,Fur Elise Drum,Guitar,['Drums'],,,0.23,0.6,0.16,0.04,,,0.08,0.55,Beginner,1/8,Beginner,8/8,Intermediate,7/8
66,Кино,Спокойная ночь,Electric Guitar (clean),[],Intermediate,3/8,0.68,0.79,0.29,0.42,Intermediate,3/8,0.36,0.21,Beginner,7/8,Beginner,1/8,Intermediate,7/8
67,Gojira,Silvera,Joe Duplantier (Guitar),['Distortion Guitar'],Intermediate,4/8,0.58,0.83,0.03,0.92,Intermediate,4/8,0.6,0.16,Intermediate,8/8,Intermediate,8/8,Advanced,3/8
68,Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8,0.05,0.21,0.45,0.49,Intermediate,4/8,0.43,0.14,Beginner,1/8,Beginner,6/8,Intermediate,7/8
69,Joe Hisaishi,Spirited Away Ost - One Summer's Day,Acoustic Guitar (nylon),[],Beginner,2/8,0.27,0.1,0.32,0.32,Beginner,2/8,0.41,0.4,Advanced,2/8,Advanced,1/8,Beginner,3/8
70,Blue Oyster Cult,Don't Fear The Reaper,Guitar 1,['Electric Guitar (clean)'],Beginner,2/8,0.43,0.52,0.95,0.02,Beginner,2/8,0.74,0.15,Beginner,7/8,Beginner,8/8,Beginner,2/8
71,Plain White T's,Hey There Delilah,Acoustic Guitar (steel),[],Beginner,2/8,0.14,0.68,0.71,0.16,Beginner,2/8,0.72,0.16,Intermediate,2/8,Beginner,2/8,Advanced,5/8
72,Led Zeppelin,Whole Lotta Love,Jimmy Page Guitar 1 (w/dist) ,['Distortion Guitar'],Intermediate,3/8,0.66,0.09,0.54,0.02,Intermediate,3/8,0.79,0.59,Intermediate,6/8,Intermediate,3/8,Intermediate,1/8
73,Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow (Fingerstyle),Steel Guitar,['Acoustic Guitar (steel)'],Beginner,2/8,0.56,0.67,0.69,0.96,Beginner,2/8,0.38,0.16,Intermediate,6/8,Advanced,5/8,Beginner,2/8
74,Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8,0.07,0.71,0.45,0.47,Intermediate,3/8,0.49,0.17,Advanced,2/8,Intermediate,7/8,Advanced,5/8
75,Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8,0.96,0.67,0.99,0.09,Intermediate,5/8,0.28,0.11,Beginner,5/8,Intermediate,1/8,Beginner,5/8
76,Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.75,0.71,0.47,0.41,Intermediate,3/8,0.31,0.03,Intermediate,4/8,Advanced,8/8,Beginner,7/8
77,Yann Tiersen,La Valse D'amélie (Acoustic),Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8,0.89,0.91,0.07,0.82,Intermediate,4/8,0.99,0.6,Intermediate,5/8,Intermediate,1/8,Beginner,6/8
78,Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8,0.55,0.33,0.22,0.12,Intermediate,4/8,0.5,0.12,Beginner,6/8,Beginner,6/8,Advanced,2/8
79,Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,4/8,0.15,0.6,0.42,0.05,Intermediate,4/8,0.99,0.21,Beginner,1/8,Intermediate,4/8,Beginner,5/8
80,Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8,0.45,0.96,0.36,0.51,Intermediate,4/8,0.85,0.27,Beginner,6/8,Advanced,2/8,Beginner,6/8
81,The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8,0.89,0.94,0.66,0.82,Beginner,2/8,0.93,0.6,Intermediate,7/8,Beginner,6/8,Intermediate,4/8
82,Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8,0.86,0.03,0.33,0.28,Intermediate,3/8,0.58,0.91,Advanced,4/8,Advanced,8/8,Beginner,4/8
83,Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8,0.43,0.98,0.47,0.32,Intermediate,3/8,0.71,0.97,Advanced,2/8,Intermediate,8/8,Beginner,6/8
84,Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8,0.73,0.88,0.54,0.08,Beginner,2/8,0.35,0.15,Beginner,2/8,Intermediate,1/8,Advanced,4/8
85,Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8,0.76,0.78,0.7,0.09,Beginner,2/8,0.28,0.42,Beginner,3/8,Advanced,8/8,Intermediate,4/8
86,Jaskier,Toss A Coin To Your Witcher,Nylon Guitar,['Acoustic Guitar (nylon)'],Beginner,2/8,0.34,0.84,0.51,0.35,Beginner,2/8,0.81,0.44,Beginner,6/8,Beginner,4/8,Advanced,1/8
87,Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8,0.92,0.16,0.12,0.94,Intermediate,3/8,0.25,0.13,Advanced,2/8,Intermediate,4/8,Intermediate,3/8
88,The White Stripes,Seven Nation Army Edit,Guitar 1,['Distortion Guitar'],Beginner,1/8,0.84,0.88,0.78,0.41,Beginner,1/8,0.4,0.59,Intermediate,5/8,Intermediate,4/8,Advanced,7/8
89,Avenged Sevenfold,Nightmare,Lead,"['Synyster Gates', 'Distortion Guitar']",Intermediate,3/8,0.95,0.99,0.19,0.35,Intermediate,3/8,0.18,0.21,Beginner,5/8,Advanced,5/8,Intermediate,7/8
90,Bon Jovi,You Give Love A Bad Name,Distortion Guitar,[],Beginner,2/8,0.92,0.08,0.97,0.51,Beginner,2/8,0.55,0.66,Intermediate,2/8,Beginner,8/8,Beginner,6/8
91,The Rolling Stones,Angie,Acoustic Guitar (steel),[],Beginner,2/8,0.85,0.02,0.28,0.24,Beginner,2/8,0.68,0.03,Advanced,1/8,Intermediate,4/8,Advanced,2/8
92,John Petrucci,Glasgow Kiss,Lead Guitar,['Distortion Guitar'],Advanced,6/8,0.78,0.87,0.68,0.02,Advanced,6/8,0.55,0.41,Beginner,3/8,Beginner,7/8,Beginner,5/8
93,The Rolling Stones,Paint It Black,Keith Richards,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8,0.62,0.1,0.64,0.2,Intermediate,3/8,0.67,0.23,Beginner,3/8,Beginner,4/8,Advanced,6/8
94,Sting,Shape Of My Heart,Acoustic Guitar (nylon),[],Intermediate,3/8,0.49,0.21,0.98,0.41,Intermediate,3/8,0.15,0.53,Beginner,8/8,Advanced,8/8,Advanced,2/8
95,Megadeth,In My Darkest Hour,Dave Mustaine,"['Distorted Guitar', 'Distortion Guitar']",Intermediate,4/8,0.06,0.79,0.3,0.36,Intermediate,4/8,0.52,0.92,Intermediate,1/8,Beginner,5/8,Intermediate,3/8
96,Johann Sebastian Bach,Toccata And Fugue (Bwv 565),Guitare classique,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.01,0.48,0.09,0.95,Intermediate,5/8,0.54,0.87,Advanced,4/8,Advanced,6/8,Beginner,3/8
97,Kotaro Oshio,Twilight,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.15,0.18,0.58,0.48,Intermediate,3/8,0.68,0.94,Beginner,3/8,Beginner,7/8,Beginner,6/8
98,Neil Wicker,"Shallow (Lady Gaga, Bradley Cooper)",Acoustic Guitar (steel),[],Beginner,2/8,0.36,0.22,0.29,0.88,Beginner,2/8,0.77,0.41,Beginner,6/8,Beginner,4/8,Advanced,4/8
99,Francisco Tarrega,Gran Vals,N.Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.62,0.13,0.64,0.69,Intermediate,3/8,0.26,0.04,Beginner,1/8,Intermediate,4/8,Advanced,3/8
100,Lamb Of God,Walk With Me In Hell,Mark Morton (Lead Guitar),['Distortion Guitar'],Intermediate,4/8,0.12,0.06,0.97,0.27,Intermediate,4/8,0.52,0.48,Beginner,1/8,Intermediate,2/8,Intermediate,1/8
101,Stevie Ray Vaughan,Pride And Joy,Stevie Ray Vaughan,['Overdriven Guitar'],Intermediate,4/8,0.46,0.0,0.37,0.15,Intermediate,4/8,0.9,0.57,Advanced,2/8,Advanced,1/8,Beginner,3/8
102,Megadeth,Peace Sells,Dave Mustaine,['Distortion Guitar'],Intermediate,3/8,0.67,0.16,0.96,0.43,Intermediate,3/8,0.68,0.15,Advanced,8/8,Advanced,1/8,Beginner,7/8
103,Death,Voice Of The Soul,Lead 1  Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8,0.7,0.87,0.99,0.45,Intermediate,4/8,0.18,0.73,Beginner,4/8,Intermediate,4/8,Advanced,3/8
104,Kana-Boon,Silhouette,Lead Guitar,"['Hayato Koga', 'Distortion Guitar']",Intermediate,4/8,0.58,0.22,0.77,0.5,Intermediate,4/8,0.95,0.11,Beginner,8/8,Advanced,7/8,Intermediate,6/8
105,Jeff Buckley,Hallelujah (Fingerstyle),Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8,0.04,0.67,0.64,0.47,Beginner,2/8,0.38,0.39,Beginner,5/8,Intermediate,6/8,Beginner,6/8
106,Skillet,Monster,Ben Kasica,['Distortion Guitar'],Beginner,1/8,0.34,0.88,0.92,0.4,Beginner,1/8,0.63,0.89,Advanced,6/8,Intermediate,7/8,Intermediate,1/8
107,Extreme,More Than Words,Trilha 1,['Acoustic Guitar (steel)'],Beginner,2/8,0.95,0.72,0.04,0.55,Beginner,2/8,0.42,0.74,Advanced,7/8,Beginner,3/8,Advanced,3/8
108,Lil Peep,Star Shopping,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8,0.37,0.5,0.3,0.91,Intermediate,3/8,0.88,0.41,Advanced,2/8,Intermediate,2/8,Intermediate,3/8
109,Seether,Careless Whisper,Distortion Guitar,[],Beginner,2/8,0.26,0.4,0.78,0.28,Beginner,2/8,0.37,0.03,Beginner,7/8,Intermediate,7/8,Advanced,6/8
110,Van Halen,Hot For Teacher,Eddie Van Halen (Disortion),['Distortion Guitar'],Intermediate,5/8,0.19,0.07,0.79,0.42,Intermediate,5/8,0.91,0.99,Advanced,2/8,Intermediate,3/8,Intermediate,1/8
111,Aerosmith,Walk This Way,Rhythm Guitar 1,['Overdriven Guitar'],Intermediate,3/8,0.36,0.11,0.6,0.11,Intermediate,3/8,0.04,0.47,Advanced,6/8,Advanced,3/8,Intermediate,4/8
112,Megadeth,Sweating Bullets,Distortion Guitar-Dave Mustaine,['Distortion Guitar'],Intermediate,4/8,0.78,0.42,0.08,0.88,Intermediate,4/8,0.85,0.7,Beginner,3/8,Advanced,1/8,Intermediate,4/8
113,Steve Vai,Eugene's Trick Bag (Crossroads),Track 1,['Distortion Guitar'],Advanced,8/8,0.73,0.27,0.44,0.43,Advanced,8/8,0.18,0.18,Intermediate,3/8,Intermediate,2/8,Beginner,6/8
114,Tool,The Pot,Guitar 1 w/ delay,['Distortion Guitar'],Intermediate,3/8,0.23,0.93,0.35,0.69,Intermediate,3/8,0.09,0.35,Intermediate,7/8,Advanced,1/8,Advanced,3/8
115,Eric Clapton,Layla (Acoustic),Eric Clapton,['Acoustic Guitar (steel)'],Beginner,2/8,0.88,0.61,0.31,0.83,Beginner,2/8,0.41,0.48,Intermediate,4/8,Beginner,2/8,Beginner,2/8
116,Jason Becker,Altitudes,Jason Becker,"['Lead', 'Distortion Guitar']",Advanced,8/8,0.93,0.8,0.66,0.9,Advanced,8/8,0.51,0.99,Intermediate,7/8,Intermediate,6/8,Beginner,8/8
117,Lamb Of God,Laid To Rest,Willie Adler,['Distortion Guitar'],Intermediate,5/8,0.37,0.77,0.35,1.0,Intermediate,5/8,0.51,0.67,Beginner,7/8,Advanced,3/8,Beginner,5/8
118,Duman,Bu Akşam,Kaan Tangöze,['Distortion Guitar'],Beginner,2/8,0.74,0.24,0.77,0.84,Beginner,2/8,0.25,0.14,Intermediate,2/8,Intermediate,6/8,Beginner,2/8
119,Iron Maiden,The Trooper,Dave Murray,['Distortion Guitar'],Intermediate,4/8,0.75,0.51,0.13,0.39,Intermediate,4/8,0.85,0.08,Intermediate,6/8,Advanced,6/8,Intermediate,2/8
120,Death,Symbolic,Chuck Schuldiner,['Distortion Guitar'],Intermediate,3/8,0.14,0.11,0.97,0.91,Intermediate,3/8,0.26,0.5,Beginner,5/8,Intermediate,5/8,Intermediate,7/8
